Province,Occupation,Gender,Employment
Nova Scotia,9 Occupations in manufacturing and utilities,Women,5605
New Brunswick,0 Legislative and senior management occupations,Total,3810
New Brunswick,0 Legislative and senior management occupations,Men,2465
New Brunswick,0 Legislative and senior management occupations,Women,1340
New Brunswick,"1 Business, finance and administration occupations",Total,63420
New Brunswick,"1 Business, finance and administration occupations",Men,18285
New Brunswick,"1 Business, finance and administration occupations",Women,45135
New Brunswick,2 Natural and applied sciences and related occupations,Total,25575
New Brunswick,2 Natural and applied sciences and related occupations,Men,19945
New Brunswick,2 Natural and applied sciences and related occupations,Women,5635
New Brunswick,21301 Mechanical engineers,Total,715
New Brunswick,21301 Mechanical engineers,Men,680
New Brunswick,21301 Mechanical engineers,Women,30
New Brunswick,21310 Electrical and electronics engineers,Total,610
New Brunswick,21310 Electrical and electronics engineers,Men,535
New Brunswick,21310 Electrical and electronics engineers,Women,75
New Brunswick,21311 Computer engineers (except software engineers and designers),Total,265
New Brunswick,21311 Computer engineers (except software engineers and designers),Men,230
New Brunswick,21311 Computer engineers (except software engineers and designers),Women,30
New Brunswick,3 Health occupations,Total,37225
New Brunswick,3 Health occupations,Men,5955
New Brunswick,3 Health occupations,Women,31265
New Brunswick,31301 Registered nurses and registered psychiatric nurses,Total,8320
New Brunswick,31301 Registered nurses and registered psychiatric nurses,Men,500
New Brunswick,31301 Registered nurses and registered psychiatric nurses,Women,7820
New Brunswick,31302 Nurse practitioners,Total,180
New Brunswick,31302 Nurse practitioners,Men,15
New Brunswick,31302 Nurse practitioners,Women,160
New Brunswick,32101 Licensed practical nurses,Total,2905
New Brunswick,32101 Licensed practical nurses,Men,270
New Brunswick,32101 Licensed practical nurses,Women,2630
New Brunswick,"33102 Nurse aides, orderlies and patient service associates",Total,9880
New Brunswick,"33102 Nurse aides, orderlies and patient service associates",Men,1275
New Brunswick,"33102 Nurse aides, orderlies and patient service associates",Women,8600
New Brunswick,"4 Occupations in education, law and social, community and government services",Total,55630
New Brunswick,"4 Occupations in education, law and social, community and government services",Men,19220
New Brunswick,"4 Occupations in education, law and social, community and government services",Women,36410
New Brunswick,40040 Commissioned police officers and related occupations in public protection services,Total,55
New Brunswick,40040 Commissioned police officers and related occupations in public protection services,Men,35
New Brunswick,40040 Commissioned police officers and related occupations in public protection services,Women,20
New Brunswick,4131 Police investigators and probation officers,Total,235
New Brunswick,4131 Police investigators and probation officers,Men,75
New Brunswick,4131 Police investigators and probation officers,Women,155
New Brunswick,41310 Police investigators and other investigative occupations,Total,45
New Brunswick,41310 Police investigators and other investigative occupations,Men,35
New Brunswick,41310 Police investigators and other investigative occupations,Women,10
New Brunswick,42100 Police officers (except commissioned),Total,1515
New Brunswick,42100 Police officers (except commissioned),Men,1205
New Brunswick,42100 Police officers (except commissioned),Women,310
New Brunswick,42101 Firefighters,Total,695
New Brunswick,42101 Firefighters,Men,675
New Brunswick,42101 Firefighters,Women,15
New Brunswick,"5 Occupations in art, culture, recreation and sport",Total,9150
New Brunswick,"5 Occupations in art, culture, recreation and sport",Men,4145
New Brunswick,"5 Occupations in art, culture, recreation and sport",Women,5010
New Brunswick,6 Sales and service occupations,Total,114365
New Brunswick,6 Sales and service occupations,Men,48225
New Brunswick,6 Sales and service occupations,Women,66140
New Brunswick,"7 Trades, transport and equipment operators and related occupations",Total,75675
New Brunswick,"7 Trades, transport and equipment operators and related occupations",Men,70425
New Brunswick,"7 Trades, transport and equipment operators and related occupations",Women,5255
New Brunswick,"8 Natural resources, agriculture and related production occupations",Total,16735
New Brunswick,"8 Natural resources, agriculture and related production occupations",Men,13740
New Brunswick,"8 Natural resources, agriculture and related production occupations",Women,2990
New Brunswick,9 Occupations in manufacturing and utilities,Total,21680
New Brunswick,9 Occupations in manufacturing and utilities,Men,15775
New Brunswick,9 Occupations in manufacturing and utilities,Women,5900
Quebec,0 Legislative and senior management occupations,Total,83500
Quebec,0 Legislative and senior management occupations,Men,60115
Quebec,0 Legislative and senior management occupations,Women,23385
Quebec,"1 Business, finance and administration occupations",Total,832790
Quebec,"1 Business, finance and administration occupations",Men,273850
Quebec,"1 Business, finance and administration occupations",Women,558940
Quebec,2 Natural and applied sciences and related occupations,Total,376995
Quebec,2 Natural and applied sciences and related occupations,Men,284830
Quebec,2 Natural and applied sciences and related occupations,Women,92160
Quebec,21301 Mechanical engineers,Total,13575
Quebec,21301 Mechanical engineers,Men,12170
Quebec,21301 Mechanical engineers,Women,1405
Quebec,21310 Electrical and electronics engineers,Total,9365
Quebec,21310 Electrical and electronics engineers,Men,8365
Quebec,21310 Electrical and electronics engineers,Women,1000
Quebec,21311 Computer engineers (except software engineers and designers),Total,6230
Quebec,21311 Computer engineers (except software engineers and designers),Men,5475
Quebec,21311 Computer engineers (except software engineers and designers),Women,755
Quebec,3 Health occupations,Total,382265
Quebec,3 Health occupations,Men,74415
Quebec,3 Health occupations,Women,307850
Quebec,31301 Registered nurses and registered psychiatric nurses,Total,75280
Quebec,31301 Registered nurses and registered psychiatric nurses,Men,8575
Quebec,31301 Registered nurses and registered psychiatric nurses,Women,66700
Quebec,31302 Nurse practitioners,Total,775
Quebec,31302 Nurse practitioners,Men,55
Quebec,31302 Nurse practitioners,Women,720
Quebec,32101 Licensed practical nurses,Total,22355
Quebec,32101 Licensed practical nurses,Men,2460
Quebec,32101 Licensed practical nurses,Women,19895
Quebec,"33102 Nurse aides, orderlies and patient service associates",Total,98735
Quebec,"33102 Nurse aides, orderlies and patient service associates",Men,17045
Quebec,"33102 Nurse aides, orderlies and patient service associates",Women,81690
Quebec,"4 Occupations in education, law and social, community and government services",Total,601675
Quebec,"4 Occupations in education, law and social, community and government services",Men,179715
Quebec,"4 Occupations in education, law and social, community and government services",Women,421960
Quebec,40040 Commissioned police officers and related occupations in public protection services,Total,1030
Quebec,40040 Commissioned police officers and related occupations in public protection services,Men,790
Quebec,40040 Commissioned police officers and related occupations in public protection services,Women,240
Quebec,4131 Police investigators and probation officers,Total,1465
Quebec,4131 Police investigators and probation officers,Men,465
Quebec,4131 Police investigators and probation officers,Women,1000
Quebec,41310 Police investigators and other investigative occupations,Total,525
Quebec,41310 Police investigators and other investigative occupations,Men,320
Quebec,41310 Police investigators and other investigative occupations,Women,210
Quebec,42100 Police officers (except commissioned),Total,16805
Quebec,42100 Police officers (except commissioned),Men,12105
Quebec,42100 Police officers (except commissioned),Women,4700
Quebec,42101 Firefighters,Total,6795
Quebec,42101 Firefighters,Men,6485
Quebec,42101 Firefighters,Women,310
Quebec,"5 Occupations in art, culture, recreation and sport",Total,173015
Quebec,"5 Occupations in art, culture, recreation and sport",Men,85080
Quebec,"5 Occupations in art, culture, recreation and sport",Women,87935
Quebec,6 Sales and service occupations,Total,1207455
Quebec,6 Sales and service occupations,Men,563310
Quebec,6 Sales and service occupations,Women,644140
Quebec,"7 Trades, transport and equipment operators and related occupations",Total,762630
Quebec,"7 Trades, transport and equipment operators and related occupations",Men,700360
Quebec,"7 Trades, transport and equipment operators and related occupations",Women,62270
Quebec,"8 Natural resources, agriculture and related production occupations",Total,99600
Quebec,"8 Natural resources, agriculture and related production occupations",Men,79010
Quebec,"8 Natural resources, agriculture and related production occupations",Women,20590
Quebec,9 Occupations in manufacturing and utilities,Total,227185
Quebec,9 Occupations in manufacturing and utilities,Men,163635
Quebec,9 Occupations in manufacturing and utilities,Women,63550
Ontario,0 Legislative and senior management occupations,Total,99875
Ontario,0 Legislative and senior management occupations,Men,69175
Ontario,0 Legislative and senior management occupations,Women,30700
Ontario,"1 Business, finance and administration occupations",Total,1428300
Ontario,"1 Business, finance and administration occupations",Men,479380
Ontario,"1 Business, finance and administration occupations",Women,948920
Ontario,2 Natural and applied sciences and related occupations,Total,718405
Ontario,2 Natural and applied sciences and related occupations,Men,537175
Ontario,2 Natural and applied sciences and related occupations,Women,181235
